id;"protected;";"followers_count;";"friends_count;";"favourites_count;";"profile_use_background_image;";"hashtags_average;";"mentions_average;";"urls_average;";"description;";"statuses_count;";"listed_count;";"verified;";"contributors_enabled;";"default_profile;";"default_profile_image;";"is_translator;";is_fake
1;FALSE;2232;414;4227;TRUE;0.1;0.85;0.35;101;3415;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
2;FALSE;19;128;479;TRUE;0.05;0.6;0;0;140;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
3;FALSE;121;53;1567;TRUE;0.2;0.35;0;67;1242;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
4;FALSE;4112;710;1129;TRUE;0.75;0.5;0;35;8066;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
5;FALSE;304;175;3424;TRUE;0.85;1.1;0;69;1525;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
6;FALSE;13;50;0;TRUE;0;0;0;0;0;0;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
7;FALSE;39;53;4;TRUE;0;0;0;0;0;0;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
8;FALSE;1065;22;0;FALSE;0;0;1;85;8812;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
9;FALSE;1193;2039;2470;TRUE;0.35;0.45;0;71;1955;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
10;FALSE;7;92;1;TRUE;0;0;1;0;1;0;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
11;FALSE;1409;1996;13332;TRUE;0.2;1.15;0.05;110;14870;7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
12;FALSE;758;95;9226;TRUE;0;1.25;0;0;382;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
13;FALSE;2459;3290;13324;FALSE;0.25;2.25;0.3;2;13584;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
14;FALSE;6726;1724;100;TRUE;1.7;0;0.9;20;5607;5;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
15;FALSE;156;177;3760;TRUE;0.5;0.15;0.35;35;508;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
16;FALSE;1892;232;18;TRUE;2.8;0;1;84;27999;2;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
17;FALSE;1326;68;19;FALSE;0.45;0.3;0.05;21;235;1;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
18;FALSE;174;298;534;TRUE;0.2;0.05;0;36;919;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
19;FALSE;6860;5634;6;TRUE;3.5;0.25;0;87;14136;1;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
20;FALSE;540;245;4724;TRUE;0.1;0.15;0.15;126;19775;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
21;FALSE;31772;32349;34548;TRUE;0.45;0.05;0.05;138;1903;16;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
22;FALSE;3583;2137;3181;TRUE;0;0.05;0;113;8320;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
23;FALSE;197;175;474;TRUE;0.7;0.25;0.15;0;329;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
24;FALSE;84;9;210;TRUE;0.95;0.1;0;17;319;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
25;FALSE;883290;65;2789;FALSE;0.85;0.6;0.65;77;51521;544;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
26;FALSE;1253;69;62950;TRUE;0.05;0.85;0.6;58;98728;69;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
27;FALSE;933919;1;0;TRUE;0.75;0.65;0.15;5;262;2395;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
28;FALSE;273;4901;19990;TRUE;0.15;0.95;0.2;28;7364;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
29;FALSE;88;84;146;FALSE;0.15;0.95;0.05;104;626;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
30;FALSE;12674;9066;28263;TRUE;0;0.35;0;0;1727;67;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
31;FALSE;285;298;407;TRUE;0.1;0.95;0.05;43;15837;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
32;FALSE;923;244;2019;TRUE;0.45;0.15;0.15;27;1951;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
33;FALSE;15452;15312;16159;TRUE;0.6;1.8;0.05;158;16128;6;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
34;FALSE;433;2218;11;FALSE;2.05;0.1;1.5;45;135;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
35;FALSE;2738;4787;25685;TRUE;0.8;0.15;0.05;45;369;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
